Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50
0,0,103.9460064,30.75066046,16,103.9525507,30.75675243,921.0410139,,89.58789169,89.58791089,89.58787247,89.58794928,89.58779569,89.58810286,89.58748852,89.58871721,89.58625985,89.59117473,89.58134548,89.60100616,89.56169345,89.64035338,89.48317141,89.79808855,89.17045533,90.4346197,87.94114664,93.07361825,83.34514412,105.3733363,68.93446258,68.93446258,68.93446258,76.48783506,88.18477793,88.18477793,88.18477793,88.18477793,88.18477793,88.18477793,88.18477793,81.64855085,82.6697939,88.18477793,88.18477793,88.18477793,88.18477793,88.18477793,73.95719666,88.18477793,72.0032063,88.18477793,73.85252649,75.06999066,72.6739211,77.62944454,77.62944454,83.31024246
1,0,103.9460064,30.75066046,48,103.9564943,30.7450801,1179.207157,,121.9869473,121.9869473,121.9869473,121.9869472,121.9869473,121.9869471,121.9869476,121.9869468,121.9869484,121.9869451,121.9869516,121.9869386,121.9869647,121.9869125,121.9870168,121.9868082,121.9872254,121.986391,121.9880598,121.9847222,121.9913976,121.9780476,122.0047506,121.9513562,122.0581917,121.8447076,122.2724253,121.4199718,123.136933,119.7502332,126.7207691,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,140.8957781,142.6190703,139.2136344,146.1952911,132.8684121,162.4936178,162.4936178,209.120481
2,0,103.9460064,30.75066046,64,103.9412759,30.75449343,620.9053755,,41.28557987,41.30405616,41.26712009,41.34105841,41.19344578,41.48973275,40.90136051,42.09527969,39.77329807,44.70518704,35.82146397,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,44.21878045,46.23080355,45.20241359,43.33997774,43.77496895,45.20241359
3,1,104.0625393,30.7390774,311,104.0600238,30.74269338,467.5522935,,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,50.40471985,50.29446981,43.02078611,42.18516934,50.43378751,49.39657393,46.95631543,38.47287444,46.95085792,50.24442557,49.76166317,51.89419629,60.76491901,50.24442557,46.75522935,32.15259325,32.15259325
4,1,104.0625393,30.7390774,1288,104.0620712,30.73250066,730.2875808,,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,55.46487955,84.10037645,84.10037645,84.10037734,84.10037645,84.1003782,84.1003747,84.10038173,84.10036766,84.1003958,84.10033954,84.10045205,84.10022701,84.10067709,84.09977693,84.10157728,84.09797667,84.1051782,84.09077638,84.11958498,84.06198748,84.17726144,83.94702883,84.40876038,83.49032132,85.34763088,81.71212652,89.32169732,75.29733152,80.810511,80.810511,80.810511,76.87237693,77.3601189,76.87237693,75.81933067,75.2227551,75.2227551,75.2227551,74.79474512
5,2,104.0732399,30.76099259,18,104.0730086,30.74887448,1343.253385,,94.41984157,92.8828271,94.41984157,91.39505171,97.65170004,85.89186831,85.89186831,85.89186831,65.30196018,65.30196018,65.12812212,65.30196018,64.95520713,65.65243528,64.27263248,67.09278094,61.68000237,73.5469534,73.5469534,103.3332056,103.3332056,103.3333723,103.3332056,103.333539,103.3328722,103.3342059,103.3315385,103.3368733,103.3262042,103.3475447,103.3048727,103.3902519,103.2196343,103.5614345,102.8800828,104.2518712,101.5439267,107.1082022,96.52922937,120.2913479,80.60639843,80.60639843,80.60639843,72.99188205,89.99464367,89.99464367,100.2999676,100.2999676,100.2999676,93.79498642
6,2,104.0732399,30.76099259,34,104.1146272,30.76027681,3962.074577,,397.6093045,397.9978671,397.2214998,398.7772753,395.6778163,401.9256755,389.6212276,415.0326291,367.1420457,477.2912467,477.2912467,477.2912467,477.2913209,477.2911724,477.2914695,477.2908753,477.2920638,477.2896869,477.2944405,477.2849336,477.3039478,477.2659208,477.3419808,477.1898852,477.4941731,476.8859847,478.1039148,475.6742441,480.5585337,470.8882412,490.6343374,452.6700575,535.5495048,392.0049738,392.0049738,391.7778514,392.0049738,391.5509919,392.4600097,390.6461753,394.2907665,387.068344,401.7878444,373.3892272,434.8618438,327.1437724,648.3394762,503.4165345,503.4165345,503.4165345
7,2,104.0732399,30.76099259,49,104.0507089,30.76141245,2157.007237,,205.3613502,208.8830142,201.9564643,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614
8,2,104.0732399,30.76099259,66,104.0737873,30.78668402,2847.913944,,168.718983,189.8609296,209.7338602,189.8609296,234.2533937,163.7777987,184.4340731,175.3311706,194.533952,194.533952,194.533952,194.5653174,194.5025967,194.6280786,194.3772766,194.8795286,193.8776069,195.8918595,191.9043556,200.0485892,184.3973057,218.6032025,218.6032025,238.0274213,129.8514098,163.8430395,163.8430395,163.8430395,165.1003117,162.6047714,167.6736455,157.8333745,178.8225035,141.2538341,141.2538341,141.177095,141.2538341,141.1004393,141.4075628,140.794647,142.0258382,139.5846181,144.5539683,135.6149497,131.8648257,131.8648257,131.7518552,131.9779901,131.5264939,132.4325967
9,3,104.1508278,30.73841386,19,104.1588451,30.73807002,768.4620807,,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,63.09798303,62.30239203,63.91415599,60.7699183,43.55295822,67.41562784,46.66921382,55.23950561,42.98253627,67.557106,67.10645217,74.26747626,55.52360242,63.54208419,57.01109718,57.01109718,78.81662366,78.81662366,42.85104539,71.46176275,97.58248644,55.7754736,33.75107959
10,3,104.1508278,30.73841386,51,104.1374701,30.77433248,4181.143453,,477.551671,330.8763458,330.8763458,330.8763458,330.8763458,330.8763458,330.8763458,330.8763458,330.8763458,454.0608275,330.8763458,330.8763458,334.1501222,330.8763457,323.5274891,330.8763455,341.8533231,341.8533211,341.8533251,314.9527367,341.8448353,370.437648,341.8108805,384.6367061,341.6751285,364.6787748,341.1331969,343.3113035,338.9825537,347.7520383,330.6444813,248.8402995,366.803279,259.295718,366.9569753,248.4872708,367.5730508,365.1210778,301.2431574,360.313978,310.1930228,310.1930228,310.1930228,428.8352259,428.8352259,263.1718932,446.9819282,474.4559947,327.397856,214.2650026
11,3,104.1508278,30.73841386,127,104.1462028,30.72511547,1538.935186,,91.59823648,91.59823648,91.59823648,91.59823648,91.59823648,91.59823648,91.59823648,91.59823648,91.59823648,91.59823648,91.59823648,91.59823647,91.5982365,91.59823644,91.59823654,91.59823635,91.59823674,91.59823595,91.59823754,91.59823436,91.59824071,91.598228,91.59825343,91.59820259,91.59830427,91.59810091,91.59850761,91.5976942,91.59932104,91.5960674,91.60257492,91.58956083,91.6155927,91.56354376,91.66770084,91.45962311,91.87672752,91.04628874,92.72245472,89.42964761,89.42964761,89.42964761,89.42964761,104.3345889,122.1197649,102.7587883,171.7881138,148.4801787,104.6725147,173.1302084
12,3,104.1508278,30.73841386,742,104.129349,30.7231598,2662.134322,,294.5319209,294.6268699,294.4370331,294.8169517,294.0580923,295.5797379,292.5520334,298.6707669,286.6789706,311.7095955,312.661087,310.7638777,323.6789751,298.8398835,273.0394176,285.5119233,347.505519,347.505519,347.505519,273.0394176,347.477937,347.5882917,347.3676522,347.8092116,346.9272126,382.582178,345.176567,352.2873417,338.3471689,367.4255678,313.5338132,273.0394176,443.6890537,273.0394176,443.6890537,273.0394176,443.6890537,443.6890537,443.6890537,443.6890537,273.0394176,273.0394176,273.0394176,273.0394176,273.0394176,192.327585,273.0394176,273.0394176,226.2971324,163.7303569
13,4,103.9812278,30.70951601,408,103.9804376,30.7055703,443.815225,,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845,43.53500845
14,4,103.9812278,30.70951601,655,103.9802912,30.71025208,121.2443022,,19.30969163,19.83997672,19.5621059,17.74306861,22.21269659,16.25621929,18.65296957,18.65296957,21.42230616,20.09111567,19.48569143,18.65296957,17.20116209,17.28631635,18.58018395,27.80124127,17.63553487,21.60789544,22.32631652,19.79498811,21.58118605,18.65296957,17.63553487,16.3169902,18.65296957,18.65296957,19.39908835,17.63553487,16.25621929,14.68391885,18.97736904,23.78634812,22.07228763,20.02199486,17.41274553,15.82881189,29.09863253,18.16772062,16.67543411,20.02199486,18.70626377,18.11118207,22.00274671,18.40876497,20.44400412,26.50685149,17.94365829,15.40969066,24.72971603,20.78473752
