Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50
0,0,103.9460064,30.75066046,16,103.9525507,30.75675243,921.0410139,,93.40134225,93.40134225,93.40134225,93.40134225,93.40134225,95.00709599,93.40134225,119.4433592,104.8292017,111.660133,108.1368985,109.8702779,108.9966971,109.4317441,109.2137874,152.0549223,150.3953576,129.8595686,150.8068433,151.0134317,150.8068433,101.3990107,122.8054685,135.3733311,101.3990107,122.3977417,138.0602301,62.20914916,62.20914916,62.20914916,81.97151174,70.73594987,75.94039851,73.24584067,74.56878544,73.90139286,74.23358914,74.06711851,74.1502604,74.10866614,74.12945744,74.11906034,74.12425852,74.12165934,74.1229589,74.12230911,74.12263402,74.12247156,74.12255279,74.12251218
1,0,103.9460064,30.75066046,48,103.9564943,30.7450801,1179.207157,,151.7478379,147.3369463,152.9782258,153.2543598,151.573682,136.6463229,156.6474452,156.6474452,156.6474452,156.6474452,156.6474452,218.8219467,182.5869146,199.0689691,190.4720478,194.6756441,192.5509064,193.607446,193.0777309,193.3422256,193.0777309,193.0777309,157.2276209,173.3182329,164.8812902,175.527974,176.7582649,167.9470958,167.4282352,167.6872641,167.5576496,166.0671853,167.5900344,167.6062315,167.5981326,167.602182,167.6001572,167.6011696,167.6006634,167.6009165,167.60079,167.6008533,167.6008216,167.6008216,167.6008216,119.9193719,139.8064255,129.1015286,134.2409026,131.6210658
2,0,103.9460064,30.75066046,64,103.9412759,30.75449343,620.9053755,,67.42016393,80.11682265,74.34343741,80.11682265,77.38924473,39.24950574,39.24950574,53.50710597,45.28253941,49.05246143,47.09217148,48.05233231,47.56740711,47.80864008,47.80864008,61.84348126,326.3152338,87.54279447,138.0499857,107.1424495,120.6482052,113.4949478,116.9623077,115.2025436,116.0757563,115.6375015,115.8562144,115.7467546,115.7467546,115.7467546,57.46167999,421.7470475,62.54223144,108.9307676,79.46176153,91.89144303,79.46176153,79.46176153,36.67365631,79.46176153,87.06944971,111.9028461,96.28809517,52.71838094,68.13331357,59.44274086,63.49202319,61.40069344,62.42884865,61.91050267
3,1,104.0625393,30.7390774,311,104.0600238,30.74269338,467.5522935,,45.78858152,45.78858152,58.69880581,83.53291596,83.53291596,83.53291596,113.7289363,96.31978579,104.3029129,100.1525181,102.1855895,101.1588397,101.6696224,101.4135879,101.5414437,101.4774755,101.5094496,101.4934601,101.5014542,101.4974569,101.4994555,101.4984562,101.4989559,101.4987061,101.498831,101.4987686,101.4987998,101.4987842,101.4987919,101.498788,101.49879,101.498789,101.4987895,101.4987892,101.4987894,101.4987893,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894,101.4987894
4,1,104.0625393,30.7390774,1288,104.0620712,30.73250066,730.2875808,,147.6926282,144.5021115,151.0272151,128.9317352,108.1017801,108.1017801,108.1017801,113.2716627,120.8751858,118.9608729,94.06208554,105.0563553,99.25569763,102.0736827,102.0736827,102.0736827,120.9678815,137.8412823,160.1849378,194.7433549,175.7817161,184.7773541,180.1673184,182.4432189,181.2981263,181.2981263,181.2981263,82.26753256,113.1782462,95.27854849,103.4598947,99.20082331,101.2856052,100.2323748,100.7562376,100.4936236,100.6247593,100.5591486,100.5919433,100.5755433,100.5837426,100.5796428,100.5816927,100.5806677,100.5811802,100.5809239,100.5810521,100.580988,100.58102,100.581004
5,2,104.0732399,30.76099259,18,104.0730086,30.74887448,1343.253385,,112.852093,182.4797051,120.9684099,114.0797108,86.3006339,91.21833881,87.76247162,87.97535814,151.7482903,102.832795,109.7694958,141.9286596,120.1632421,120.1632421,120.1632421,120.1120762,125.7117553,99.36394902,89.17277477,87.97535814,105.9069686,109.744584,113.8707736,114.4424141,115.1360044,115.1360044,115.1360044,129.9922631,91.29727223,101.9117426,101.9117426,101.9117426,108.3430662,102.7781549,102.7781549,102.7781549,89.38469845,95.61467496,95.61467496,95.61467496,98.82245612,90.0337402,95.92287996,92.88505724,92.88505724,91.46311749,79.04073531,90.08405712,84.20184896,84.20184896
6,2,104.0732399,30.76099259,34,104.1146272,30.76027681,3962.074577,,395.6579328,395.6579328,395.6579328,395.6579328,395.6579328,322.7029067,337.9968833,337.9968833,341.4355111,1229.609351,344.9448241,366.1994474,366.1994474,366.1994474,731.4599219,488.0570908,585.4681776,532.3431202,557.6432392,544.699554,551.0954044,547.8788137,547.8788137,452.5643942,385.499148,277.8597755,452.8085231,344.3895809,391.226564,366.3170074,378.3622475,378.3622475,378.3622475,490.1535559,305.689423,425.7751784,355.874962,387.6996053,371.1062437,371.1062437,371.1062437,343.3670794,462.4989779,295.7691753,351.7501474,331.7085692,460.8552012,385.7597965,419.9769887,402.1418425
7,2,104.0732399,30.76099259,49,104.0507089,30.76141245,2157.007237,,257.3701817,264.1233351,251.3696051,176.5158413,134.1144396,254.0538355,316.087899,195.8619309,181.2540607,202.79154,192.4172886,219.3773251,236.252718,293.5813253,125.9055704,254.7750827,176.2566847,251.9875701,281.8593849,182.7972235,116.887497,192.8051162,172.8678997,284.0936361,259.2729901,158.1244063,224.9124142,149.8079944,149.1878204,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,197.3373838,1071.065663,333.2715044,508.3617711,402.6040728,449.3440031
8,2,104.0732399,30.76099259,66,104.0737873,30.78668402,2847.913944,,285.1175092,243.1872937,261.8054952,201.3582363,172.6815978,150.1410698,200.8869793,240.1051569,260.8776132,213.7507155,234.9744973,223.8606857,229.2829933,229.2829933,229.2829933,234.3962094,202.7901424,240.7715461,283.6881627,175.7067729,210.0920123,198.7344643,228.2388735,188.5419121,218.6809143,218.6809143,251.4097646,197.7926958,174.9571706,180.5469972,204.3894688,209.9844383,190.8708282,210.7578285,211.5369367,279.4681907,240.8033712,279.4681907,258.6990618,319.8904898,213.248005,218.888416,191.0550235,224.8353114,199.4958398,257.4034217,217.252132,210.902344,196.2199081,204.9131952
9,3,104.1508278,30.73841386,19,104.1588451,30.73807002,768.4620807,,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,43.49785362,53.22681078,101.8017844,68.56167263,81.93894085,68.56167263,68.56167263,55.301619,61.22187531,58.11135073,59.62607375,59.62607375,68.777401,90.11281728,81.24709223,81.24709223,81.24709223,71.80956497,99.33441618,83.35859858,90.64799477,86.85061483,86.85061483,86.85061483,58.86092533,70.16750422,64.01882501,66.95229237,65.45270706,66.19400776,65.82127028,66.00711282
10,3,104.1508278,30.73841386,51,104.1374701,30.77433248,4181.143453,,314.1857665,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445,425.802445
11,3,104.1508278,30.73841386,127,104.1462028,30.72511547,1538.935186,,171.9658563,110.5821691,110.5821691,110.5821691,90.1206453,86.58443109,87.44221009,87.87750472,87.65931702,87.87750472,87.76827527,101.0189286,61.94744692,101.0189286,102.9599886,104.9771041,117.9386199,77.53907165,93.5641405,83.68831827,88.35110806,83.68831827,149.330638,160.3521467,154.6452664,157.4470101,154.6452664,154.6452664,89.42964761,99.56121309,102.28,96.98322398,96.98322398,96.98322398,82.44295639,89.12393597,85.6533643,87.35419238,86.49541796,86.9226841,86.70852468,86.81547232,86.76196554,86.78871069,86.77533605,86.78202285,86.77867933,86.78035106,86.77951519,86.77993312
12,3,104.1508278,30.73841386,742,104.129349,30.7231598,2662.134322,,297.6299242,329.9030485,383.7310734,383.7310734,383.7310734,383.7310734,302.3244025,374.4235804,413.5354287,345.3579661,345.3579661,423.3543262,345.3579661,309.6505189,386.4388532,386.4388532,386.4388532,386.4388532,386.4388532,386.4388532,386.4388532,252.2021989,425.9414915,275.3932057,334.5090248,302.0861642,317.4719191,309.5880011,313.4803985,311.5220416,312.498152,312.0093333,312.0093333,312.0093333,247.640402,312.0093333,518.0369491,389.4538572,444.6358829,415.2194934,429.4245083,422.2025526,425.7829086,423.9851721,424.8821387,424.4331816,424.6575415,424.5453319,424.6014292,424.5733787
13,4,103.9812278,30.70951601,408,103.9804376,30.7055703,443.815225,,78.96547662,68.27926538,62.27771623,62.27771623,70.68059323,65.94035534,65.94035534,62.35062673,65.94035534,67.70062754,67.70062754,67.70062754,67.84436561,67.70062754,67.84436561,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,60.42869932,68.66071379,85.66942681,79.48929403,82.46373213,80.94919873,81.69944698,81.32259252,81.51058417,81.41647983
14,4,103.9812278,30.70951601,655,103.9802912,30.71025208,121.2443022,,30.90120268,28.62160577,30.05022292,26.76419957,27.39411013,23.56164577,25.3007142,30.48041117,23.7217113,21.90612235,25.25435803,24.68310017,17.35504922,13.40950808,27.279968,35.05859341,28.38890978,29.39255811,24.45263238,20.98459077,24.72971603,27.49477089,26.13649628,27.71298336,26.29394506,25.19362124,21.50145261,26.29394506,26.29394506,26.03516182,25.30315872,29.34315885,26.29394506,25.675264,28.71575578,26.77788269,22.67425911,28.90592635,24.55580804,29.64207049,26.94317827,26.86027618,25.01315117,26.94317827,17.99915414,17.99915414,17.99915414,17.99915414,17.99915414,17.99915414
15,5,104.0439712,30.6867731,195,104.0444437,30.68572405,124.7648613,,21.77713943,17.75310279,28.16009409,64.16478581,28.16009409,15.17410475,22.51395993,22.51395993,27.55542949,84.74594352,43.1878366,31.29989552,36.29523238,28.42743675,48.07453371,31.26358473,31.26358473,31.26358473,20.55622429,24.80369079,22.48109284,23.58534956,22.48109284,20.7681033,15.67726006,19.29767994,17.30008669,19.29767994,19.29767994,27.47116212,22.67020824,22.67020824,22.67020824,22.12578821,22.12578821,18.75379961,22.12578821,26.26628659,41.01858454,32.31320149,21.54213433,32.31320149,32.31320149,34.55026928,34.55026928,34.55026928,48.82103268,40.46427934,44.25157642,42.27327065
16,5,104.0439712,30.6867731,620,104.0428231,30.68723173,121.1557126,,15.86038419,19.0463129,19.0463129,23.83391068,21.17284298,22.42470773,24.2918722,35.75086601,26.49821175,41.53910146,32.35612503,36.37702797,32.35612503,31.55248846,30.78780461,19.64687231,38.59828012,21.64568563,23.26189682,26.92349169,24.95911676,25.90411673,25.42283805,25.66122098,25.54147331,25.60120712,25.57130532,25.58624749,25.57877422,25.58251032,25.58064213,25.58157619,25.58110915,25.58134267,25.58134267,25.58134267,27.84003608,25.58134267,24.03088514,24.78188683,24.40060877,24.78188683,24.78188683,43.18421439,31.49176706,36.42261389,33.77819121,35.05059565,35.05059565,35.05059565
17,6,104.1012878,30.71733224,726,104.1018715,30.7188824,180.6695447,,15.69144417,15.69144417,15.69144417,15.84756209,16.00681774,17.48414949,16.00681774,15.52292031,15.52292031,14.07814634,15.52292031,20.87994738,16.47651326,17.55493552,13.6928497,15.38522439,14.48978805,15.38522439,14.92408687,16.01995963,13.50800334,14.65713489,14.05912696,14.35190425,14.20400706,14.27757266,14.24069486,14.27757266,14.27757266,15.78665925,14.27757266,13.55021585,13.90438851,13.72501771,13.81412087,13.76942515,13.7917368,13.78057194,13.78615211,13.78336146,13.78336146,13.78336146,13.59269302,18.36279957,15.19650376,15.19650376,15.19650376,15.19650376,15.19650376,15.19650376
18,6,104.1012878,30.71733224,901,104.1007402,30.71605867,150.5741881,,14.53262941,14.53262941,14.53262941,14.53262941,14.53262941,14.53262941,14.53262941,14.53262941,16.27829061,15.35600785,15.80370487,15.543142,15.543142,15.543142,15.543142,15.543142,15.543142,15.543142,15.543142,13.9888278,15.53757297,18.46906566,15.53200794,20.80871697,14.8511528,18.45334731,23.26468142,16.57697484,19.35953847,16.97939161,16.97939161,16.97939161,16.97939161,26.06091717,19.0672869,21.74065818,16.80828146,17.70496713,16.10897703,24.58354091,16.40142442,19.05332433,20.79873677,27.44643429,22.89618066,21.46800306,18.97993968,37.31959223,26.90159192,25.07911131
19,7,104.1642292,30.69574474,211,104.158776,30.69530501,524.5509497,,69.97252131,87.83178693,87.42515828,83.37233638,75.58068517,63.63549853,64.41147502,65.20660977,54.34196889,65.90066023,99.69468114,66.60964441,76.86771039,55.80741541,124.8517963,100.2036546,105.5498862,95.37289995,54.84931092,56.20188747,66.14302693,93.19597379,92.66876101,90.22376583,79.76276321,71.47552683,66.07359758,80.70014611,50.80852248,120.7599309,101.6352755,148.4724064,138.8290375,109.5508872,118.812956,129.785802,82.01448073,59.32982016,91.66909801,59.664563,55.2452596,52.11729768,52.11729768,52.11729768,44.39077148,52.11729768,47.94473812,79.59466465,37.34443149,39.67192057
