Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50
0,0,103.9460064,30.75066046,16,103.9525507,30.75675243,921.0410139,,78.79940548,74.65097898,83.43602542,78.79940548,81.05145912,79.90956831,80.47646332,80.19201394,80.26293761,80.2984465,80.28068814,80.28956633,80.28512698,80.28623678,80.28679169,80.28651424,80.28679169,91.07262748,105.2061655,123.9145805,83.73100126,301.8890122,362.3767924,329.3789055,345.0908222,337.0518577,341.0239709,339.0262801,340.0221913,339.5235054,339.7726654,339.6480397,339.7103411,339.6791876,339.6947636,339.6869754,339.6908695,339.6889224,339.6898959,339.6894092,339.6896526,339.6895917,339.6895613,339.6895765,339.6895689,339.6895727,339.6895717,339.6895713,339.6895715,339.6895714
1,0,103.9460064,30.75066046,48,103.9564943,30.7450801,1179.207157,,173.9813838,173.9813838,173.9813838,170.0183535,205.5760661,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,406.8829808,350.838493,350.838493,350.838493,137.3833581,197.4486402,162.0284643,177.9935331,169.6361944,173.7144047,171.6510797,172.6765787,172.1623021,172.4190569,172.2905838,172.3547964,172.3226842,172.3387388,172.3387388,172.3387388,175.4192465,174.6388412,174.2512366,174.4448236,174.3479764,174.3963865,174.3842815,174.3782296,174.3812555,174.380499
2,0,103.9460064,30.75066046,64,103.9412759,30.75449343,620.9053755,,35.49439225,29.63224947,30.58019498,30.0987603,30.33756776,53.86978405,31.84680664,30.24757221,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,117.4391954,51.91034259,71.99675816,60.3254593,65.64638331,62.87354606,62.87354606,62.87354606,39.70265279,48.67106789,43.73179027,46.06941767,44.87017842,45.16409659,45.3125044,45.23817878,45.27531108,45.25673732,45.26137933,45.26370069,45.26137933,41.08932632
3,1,104.0625393,30.7390774,311,104.0600238,30.74269338,467.5522935,,51.16073728,51.16073728,87.66605503,80.89010446,74.05139712,87.21182677,80.82536646,99.01107392,92.1453425,50.69844146,87.66605503,97.10701482,94.35683072,81.57616754,73.90508262,48.20586892,91.421015,96.92062896,101.7032179,72.97058915,74.89157983,91.66443875,42.93847593,88.73936954,100.090481,95.56782152,97.34934606,104.3298506,99.01107392,99.01107392,102.7378387,99.41387678,98.8165591,99.99776296,99.03828743,100.7494966,45.78027896,60.72837967,82.69840764,104.4647483,110.2123995,110.2123995,66.13706313,107.8966831,107.0872371,108.8092384,62.80553196,174.4236535,102.3776411,64.48997152
4,1,104.0625393,30.7390774,1288,104.0620712,30.73250066,730.2875808,,129.8289033,129.8289033,128.2456239,129.0324069,130.3115386,128.2456239,122.5657478,120.69022,265.5591203,265.5591203,265.5591203,265.5591203,265.5591203,101.3115719,101.3115719,101.3115719,101.3115719,101.3115719,101.3115719,101.3115719,101.3115719,101.3115719,101.3115719,101.3115719,101.3115719,101.3115719,100.5367224,100.9226599,100.7293215,100.825898,100.7775866,100.7775866,100.7775866,89.88154841,101.2465452,95.22615,98.14410792,96.66311294,98.14410792,103.8944762,139.8423027,123.364534,116.5008253,119.8344777,119.8344777,119.8344777,115.210311,95.42777825,110.9297591,122.3620148
5,2,104.0732399,30.76099259,18,104.0730086,30.74887448,1343.253385,,92.2845837,93.7759312,81.96122349,81.96122349,81.96122349,81.96122349,104.5842052,90.05050626,90.05050626,90.05050626,86.04470082,88.0020416,87.01236502,87.25769141,87.50440508,87.50440508,95.41657826,87.50440508,87.50440508,78.86188459,75.15069203,76.96157459,76.96157459,81.08657932,85.67881265,140.1655706,85.67881265,81.47788013,92.00073918,99.32993193,167.3256812,99.32993193,99.32993193,79.46938679,98.42019375,98.42019375,98.42019375,98.42019375,92.10880354,94.04341085,94.04341085,110.2533558,110.2533558,110.2533558,199.0005015,84.94883067,83.05216292,83.98979046,83.51834518,83.98979046
6,2,104.0732399,30.76099259,34,104.1146272,30.76027681,3962.074577,,471.7795528,471.7795528,471.7795528,444.6086359,420.3969656,337.7967668,374.5974932,355.2466075,359.8944472,362.2642745,361.0754724,361.6688966,361.3719409,361.6688966,512.1532667,423.9533275,463.8981991,443.0271936,453.2225449,364.9005718,255.0083757,310.1980096,251.941154,562.6614784,348.0410609,430.0620442,384.7285768,406.1341746,395.1416924,406.1341746,406.1341746,460.8552012,460.8552012,511.2354293,484.7397953,497.6351846,491.1028527,494.3474399,492.7198049,493.5322805,492.7198049,451.852222,322.8855343,376.6346611,347.6951332,376.6346611,557.1667374,449.4495417,497.5447745,484.5811159
7,2,104.0732399,30.76099259,49,104.0507089,30.76141245,2157.007237,,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,205.4292607,230.0807719,217.057332,223.3793902,220.1729875,221.7645995,220.9659274,221.3645431,221.1650556,221.2647544,221.2148938,221.2398213,221.2273568,221.2304728,221.2320308,221.2312518,221.2316413,221.2314466,221.2314953,221.2315196,221.2315075,221.2315105
8,2,104.0732399,30.76099259,66,104.0737873,30.78668402,2847.913944,,271.2298994,224.8969608,224.8969608,224.8969608,216.6972829,154.5601538,180.4287917,166.4956541,166.4956541,169.7732265,141.64811,222.1416433,172.9897208,183.1191334,188.6421023,185.8395926,188.6421023,188.6421023,192.9232027,191.8348135,191.2952111,191.5646323,191.4298269,191.4972059,191.4635105,191.4803567,191.4719332,191.4761448,191.474039,191.474039,191.474039,187.0892372,373.3608958,249.2703671,298.9499985,271.8592031,298.9499985,298.9499985,360.8216762,326.9847545,343.0709046,338.902789,336.856482,336.856482,286.739706,249.6041436,226.9924029,197.9245212,176.5387895,119.7161396
9,3,104.1508278,30.73841386,19,104.1588451,30.73807002,768.4620807,,56.18943644,61.24107491,87.37350148,100.7513259,94.17748053,37.49018846,59.2932721,65.21073382,91.75666635,75.6590318,43.6264694,69.60933481,36.02508038,46.705942,91.75666635,91.75666635,91.75666635,91.75666635,91.75666635,91.75666635,91.75666635,100.0830928,91.75666635,91.75666635,91.75666635,49.7565376,91.75666635,91.75666635,91.75666635,102.4299966,46.80767207,91.75666635,77.38359414,35.665623,91.75666635,91.75666635,110.0714917,53.22396629,110.0714917,110.0714917,110.0714917,117.6912019,110.0714917,110.0714917,117.7491708,126.555887,65.16189422,110.0714917,110.0714917,110.0714917
