Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50
0,0,103.9460064,30.75066046,16,103.9525507,30.75675243,921.0410139,,83.31024246,77.62944454,77.62944454,72.6739211,75.06999066,73.85252649,88.18477793,72.0032063,88.18477793,73.95719666,88.18477793,88.18477793,88.18477793,88.18477793,88.18477793,82.6697939,81.64855085,88.18477793,88.18477793,88.18477793,88.18477793,88.18477793,88.18477793,88.18477793,76.48783506,68.93446258,68.93446258,68.93446258,105.3733363,83.34514412,93.07361825,87.94114664,90.4346197,89.17045533,89.79808855,89.48317141,89.64035338,89.56169345,89.60100616,89.58134548,89.59117473,89.58871721,89.58748852,89.58810286,89.58779569,89.58787247,89.58791089,89.58789169,89.58790128,89.58789648
1,0,103.9460064,30.75066046,48,103.9564943,30.7450801,1179.207157,,209.120481,162.4936178,162.4936178,132.8684121,146.1952911,139.2136344,142.6190703,140.8957781,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,113.5065713,126.7207691,119.7502332,123.136933,121.4199718,122.2724253,121.8447076,122.0581917,121.9513562,122.0047506,121.9780476,121.9913976,121.9847222,121.9880598,121.986391,121.9872254,121.9868082,121.9870168,121.9869125,121.9869647,121.9869386,121.9869516,121.9869451,121.9869468,121.9869476,121.9869471,121.9869473,121.9869473,121.9869473,121.9869473,121.9869473,121.9869473
2,0,103.9460064,30.75066046,64,103.9412759,30.75449343,620.9053755,,45.20241359,43.77496895,43.33997774,45.20241359,46.23080355,44.21878045,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,59.44838702,35.82146397,44.70518704,42.09527969,40.90136051,41.48973275,41.19344578,41.26712009,41.30405616,41.28557987,41.29481594,41.29019739
3,1,104.0625393,30.7390774,311,104.0600238,30.74269338,467.5522935,,32.15259325,32.15259325,46.75522935,50.24442557,60.76491901,51.89419629,49.76166317,50.24442557,46.95085792,38.47287444,46.95631543,49.39657393,50.43378751,42.18516934,43.02078611,50.29446981,50.40471985,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349,37.79614349
4,1,104.0625393,30.7390774,1288,104.0620712,30.73250066,730.2875808,,74.79474512,75.2227551,75.2227551,75.2227551,75.81933067,76.87237693,77.3601189,76.87237693,80.810511,80.810511,80.810511,75.29733152,89.32169732,81.71212652,85.34763088,83.49032132,84.40876038,83.94702883,84.17726144,84.06198748,84.11958498,84.09077638,84.1051782,84.09797667,84.10157728,84.09977693,84.10067709,84.10022701,84.10045205,84.10033954,84.1003958,84.10036766,84.10038173,84.1003747,84.1003782,84.10037645,84.10037734,84.10037645,84.10037645,55.46487955,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,60.54894728,56.38681589
5,2,104.0732399,30.76099259,18,104.0730086,30.74887448,1343.253385,,93.79498642,100.2999676,100.2999676,100.2999676,89.99464367,89.99464367,72.99188205,80.60639843,80.60639843,80.60639843,120.2913479,96.52922937,107.1082022,101.5439267,104.2518712,102.8800828,103.5614345,103.2196343,103.3902519,103.3048727,103.3475447,103.3262042,103.3368733,103.3315385,103.3342059,103.3328722,103.333539,103.3332056,103.3333723,103.3332056,103.3332056,73.5469534,73.5469534,61.68000237,67.09278094,64.27263248,65.65243528,64.95520713,65.30196018,65.12812212,65.30196018,85.89186831,85.89186831,85.89186831,97.65170004,94.41984157,92.8828271,94.41984157,94.41984157,125.7989643
6,2,104.0732399,30.76099259,34,104.1146272,30.76027681,3962.074577,,503.4165345,503.4165345,503.4165345,648.3394762,327.1437724,434.8618438,373.3892272,401.7878444,387.068344,394.2907665,390.6461753,392.4600097,391.5509919,392.0049738,391.7778514,392.0049738,392.0049738,535.5495048,452.6700575,490.6343374,470.8882412,480.5585337,475.6742441,478.1039148,476.8859847,477.4941731,477.1898852,477.3419808,477.2659208,477.3039478,477.2849336,477.2944405,477.2896869,477.2920638,477.2908753,477.2914695,477.2911724,477.2913209,477.2912467,477.2912467,477.2912467,415.0326291,389.6212276,401.9256755,395.6778163,397.2214998,397.9978671,397.6093045,397.8034909,397.706374
7,2,104.0732399,30.76099259,49,104.0507089,30.76141245,2157.007237,,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,216.3015614,201.9564643,208.8830142,205.3613502,207.1072126,206.2305865
8,2,104.0732399,30.76099259,66,104.0737873,30.78668402,2847.913944,,132.4325967,131.5264939,131.9779901,131.7518552,131.8648257,131.8648257,135.6149497,144.5539683,139.5846181,142.0258382,140.794647,141.4075628,141.1004393,141.2538341,141.177095,141.2538341,141.2538341,178.8225035,157.8333745,167.6736455,162.6047714,165.1003117,163.8430395,163.8430395,163.8430395,129.8514098,238.0274213,218.6032025,218.6032025,184.3973057,200.0485892,191.9043556,195.8918595,193.8776069,194.8795286,194.3772766,194.6280786,194.5025967,194.5653174,194.533952,194.533952,175.3311706,184.4340731,163.7777987,234.2533937,209.7338602,189.8609296,168.718983,151.8137739,149.6932428
9,3,104.1508278,30.73841386,19,104.1588451,30.73807002,768.4620807,,33.75107959,55.7754736,97.58248644,71.46176275,42.85104539,78.81662366,78.81662366,57.01109718,57.01109718,63.54208419,55.52360242,74.26747626,67.10645217,67.557106,42.98253627,55.23950561,46.66921382,67.41562784,43.55295822,60.7699183,63.91415599,62.30239203,63.09798303,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721,90.703721
